ID,lat,Spaces,x,description,y:location_lat,y:location_lon,y,CycleStandLocations,y:row,northing,title,lng,easting
160,51.357829342326,2,524296,"2 cycle parking spaces"," "," ",163594,"4 Broadway",161,163594,"4 Broadway",-0.21623052547669,524296
161,51.357511481673,2,524270,"2 cycle parking spaces"," "," ",163558,"Station Way &amp;#92;/ Ewell Road junction 1",162,163558,"Station Way &amp;#92;/ Ewell Road junction 1",-0.21661630911165,524270
162,51.357474221032,2,524276,"2 cycle parking spaces"," "," ",163554,"Station Way &amp;#92;/ Ewell Road junction  2",163,163554,"Station Way &amp;#92;/ Ewell Road junction  2",-0.21653157857856,524276
163,51.356735983616,4,525997,"4 cycle parking spaces"," "," ",163514,"Brighton Road car park",164,163514,"Brighton Road car park",-0.19184200661475,525997
164,51.356794925806,4,524300,"4 cycle parking spaces"," "," ",163479,"37 Station Way",165,163479,"37 Station Way",-0.21621325512339,524300
165,51.355346059517,10,524432,"10 cycle parking spaces"," "," ",163321,"Cheam Station",166,163321,"Cheam Station",-0.21437371294,524432
166,51.354834891222,2,524468,"2 cycle parking spaces"," "," ",163265,"30 Upper Mulgrave Road",167,163265,"30 Upper Mulgrave Road",-0.21387655187598,524468
167,51.354753535446,2,524388,"2 cycle parking spaces"," "," ",163254,"17 Upper Mulgrave Road",168,163254,"17 Upper Mulgrave Road",-0.21502868259167,524388
168,51.348418397337,2,525692,"2 cycle parking spaces"," "," ",162581,"Hulverston Close",169,162581,"Hulverston Close",-0.1965492727613,525692
169,51.346931339764,8,525914,"8 cycle parking spaces"," "," ",162421,"Sutton Hospital",170,162421,"Sutton Hospital",-0.19341980627373,525914
170,51.344310702519,24,526141,"24 cycle parking spaces"," "," ",162135,"ICR Sutton General Hospital",171,162135,"ICR Sutton General Hospital",-0.1902633990547,526141
171,51.344130187213,19,526185,"19 cycle parking spaces"," "," ",162116,"ICR Sutton General Hospital",172,162116,"ICR Sutton General Hospital",-0.18963872252062,526185
172,51.343879862027,14,526098,"14 cycle parking spaces"," "," ",162086,"Royal Marsden Hospital",173,162086,"Royal Marsden Hospital",-0.19089779543019,526098
173,51.343832958965,10,525538,"10 cycle parking spaces"," "," ",162067,"Belmont Station",174,162067,"Belmont Station",-0.19894051462317,525538
174,51.343766909068,2,525430,"2 cycle parking spaces"," "," ",162057,"22 Station Road",175,162057,"22 Station Road",-0.20049384043139,525430
175,51.343815540496,2,525454,"2 cycle parking spaces"," "," ",162063,"13 Station Road",176,162063,"13 Station Road",-0.20014732717477,525454
176,51.366173886204,9,525014,"9 cycle parking spaces"," "," ",164540,"Robin Hood Lane Health Centre",177,164540,"Robin Hood Lane Health Centre",-0.20559175834753,525014
177,51.366173886204,2,525014,"2 cycle parking spaces"," "," ",164540,"Plough, Gander Green Lane",178,164540,"Plough, Gander Green Lane",-0.20559175834753,525014
178,51.366110535544,4,525016,"4 cycle parking spaces"," "," ",164533,"143 Gander Green Lane",179,164533,"143 Gander Green Lane",-0.20556550331205,525016
